   ---   JI Notation Bound Class Analyses   ---


       	       	       	        	        	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	actual 	initial	a.b.c.
       	       	       	lesser  	greater 	       	       	       	       	       	       	       	       	       	       	       	       	       	       	       	bound  	comma  	vs
bound  	lesser 	greater	extreme 	extreme 	medium 	high   	ultra  	extreme	       	medium 	high   	ultra  	extreme	overall	medium 	high   	ultra  	extreme	overall	class  	mean   	i.c.m.
class  	mina   	mina   	comma   	comma   	level  	level  	level  	level  	overall	dstance	dstance	dstance	dstance	dstance	ina-dst	ina-dst	ina-dst	ina-dst	ina-dst	pos    	pos    	error
ID     	name   	name   	class   	class   	rank   	rank   	rank   	rank   	rank   	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	moved  	(¢)    	(¢)    	(tinas)

 39    	 39    	 40    	  ,./|  	   ./|  	       	       	       	  1    	  1    	       	       	       	  0.049	  0.049	       	       	       	  0.352	  0.352	 19.322	 19.341	 -0.135
 40    	 40    	 41    	   ./|  	    )|~ 	       	       	  2    	  1    	  2    	       	       	  0.057	  0.017	  0.073	       	       	  0.116	  0.120	  0.236	 19.744	 19.817	 -0.523
 41    	 41    	 42    	    )|~ 	  ,,/|  	       	  1    	  1    	  1    	  1    	       	  0.021	  0.332	  0.057	  0.410	       	  0.011	  0.681	  0.408	  1.099	 20.306	 20.794	 -3.474
 42    	 42    	 43    	  ,,/|  	   ,/|  	       	       	       	  1    	  1    	       	       	       	  0.009	  0.009	       	       	       	  0.064	  0.064	 20.727	 20.746	 -0.129
 43    	 43    	 44    	   ,/|  	    /|  	       	       	       	  1    	  1    	       	       	       	  0.065	  0.065	       	       	       	  0.464	  0.464	 21.290	 21.295	 -0.038
 44    	 44    	 45    	    /|  	   `/|  	       	       	       	  1    	  1    	       	       	       	  0.001	  0.001	       	       	       	  0.009	  0.009	 21.711	 21.704	  0.050
 45    	 45    	 46    	   `/|  	  ``/|  	       	       	       	  1    	  1    	       	       	       	  0.068	  0.068	       	       	       	  0.481	  0.481	 22.133	 22.113	  0.138
 46    	 46    	 47    	  ``/|  	  .)/|  	       	  1    	  1    	  1    	  1    	       	  0.438	  0.147	  0.007	  0.592	       	  0.223	  0.302	  0.047	  0.572	 22.695	 23.195	 -3.561
 47    	 47    	 48    	  .)/|  	   '/|  	       	       	  2    	  1    	  2    	       	       	  0.019	  0.060	  0.079	       	       	  0.039	  0.425	  0.464	 23.116	 23.195	 -0.561
 48    	 48    	 49    	   '/|  	  `'/|  	       	       	       	  1    	  1    	       	       	       	  0.014	  0.014	       	       	       	  0.103	  0.103	 23.679	 23.658	  0.147
 49    	 49    	 49.568	  `'/|  	 ,,)/|  	       	       	  1    	  2    	  2    	       	       	  0.546	  0.000	  0.546	       	       	  1.118	  0.000	  1.118	 23.955	 24.172	 -1.542
 50    	 49.568	 50    	 ,,)/|  	  ,)/|  	       	       	       	  1    	  1    	       	       	       	  0.052	  0.052	       	       	       	  0.369	  0.369	 24.100	 24.167	 -0.475
 51    	 50    	 51    	  ,)/|  	   )/|  	  1    	       	       	  1    	  1    	  0.279	       	       	  0.022	  0.301	  0.571	       	       	  0.159	  0.730	 24.662	 24.385	  1.971
 52    	 51    	 51.459	   )/|  	   ,.|) 	       	       	  2    	  2    	  2    	       	       	  0.211	  0.000	  0.211	       	       	  0.433	  0.000	  0.433	 24.886	 25.097	 -1.504
 53    	 51.459	 52    	   ,.|) 	    .|) 	       	       	       	  1    	  1    	       	       	       	  0.044	  0.044	       	       	       	  0.313	  0.313	 25.084	 25.099	 -0.108
 54    	 52    	 53    	    .|) 	   `.|) 	       	       	       	  1    	  1    	       	       	       	  0.030	  0.030	       	       	       	  0.215	  0.215	 25.646	 25.660	 -0.098
 55    	 53    	 54    	   `.|) 	   ,,|) 	       	  1    	  1    	  1    	  1    	       	  1.063	  0.358	  0.036	  1.457	       	  0.543	  0.733	  0.258	  1.533	 26.067	 26.074	 -0.048
 56    	 54    	 55    	   ,,|) 	    ,|) 	       	       	       	  1    	  1    	       	       	       	  0.038	  0.038	       	       	       	  0.270	  0.270	 26.630	 26.636	 -0.049
 57    	 55    	 56    	    ,|) 	     |) 	       	       	       	  1    	  1    	       	       	       	  0.028	  0.028	       	       	       	  0.202	  0.202	 27.051	 27.053	 -0.011
 58    	 56    	 57    	     |) 	    `|) 	       	       	       	  1    	  1    	       	       	       	  0.046	  0.046	       	       	       	  0.326	  0.326	 27.613	 27.462	  1.076
 59    	 57    	 58    	    `|) 	   ``|) 	       	       	       	  1    	  1    	       	       	       	  0.021	  0.021	       	       	       	  0.146	  0.146	 28.035	 28.023	  0.087
 60    	 58    	 59    	   ``|) 	   ,'|) 	       	  1    	  1    	  1    	  1    	       	  0.605	  0.122	  0.054	  0.780	       	  0.309	  0.250	  0.382	  0.940	 28.597	 28.953	 -2.535
 61    	 59    	 60    	   ,'|) 	    '|) 	       	       	       	  1    	  1    	       	       	       	  0.013	  0.013	       	       	       	  0.090	  0.090	 29.018	 29.006	  0.086
 62    	 60    	 61    	    '|) 	   `'|) 	       	       	       	  1    	  1    	       	       	       	  0.062	  0.062	       	       	       	  0.438	  0.438	 29.581	 29.416	  1.173
 63    	 61    	 62    	   `'|) 	   ,)|) 	  1    	       	  1    	  1    	  1    	  0.607	       	  0.374	  0.005	  0.986	  0.310	       	  0.767	  0.034	  1.111	 30.002	 30.206	 -1.451
 64    	 62    	 63    	   ,)|) 	    )|) 	       	       	       	  1    	  1    	       	       	       	  0.069	  0.069	       	       	       	  0.494	  0.494	 30.564	 30.409	  1.104
 65    	 63    	 64    	    )|) 	   .(|  	       	  2    	  2    	  1    	  2    	       	  0.286	  0.065	  0.003	  0.354	       	  0.146	  0.132	  0.021	  0.300	 30.986	 31.204	 -1.555
 66    	 64    	 65    	   .(|  	     |\ 	       	       	  2    	  1    	  2    	       	       	  0.010	  0.063	  0.073	       	       	  0.020	  0.451	  0.471	 31.407	 31.480	 -0.520
 67    	 65    	 66    	     |\ 	    `|\ 	       	       	       	  1    	  1    	       	       	       	  0.011	  0.011	       	       	       	  0.077	  0.077	 31.970	 31.978	 -0.060
 68    	 66    	 67    	    `|\ 	   ,(|  	       	  1    	  1    	  1    	  1    	       	  0.313	  0.105	  0.055	  0.473	       	  0.160	  0.216	  0.395	  0.770	 32.391	 32.457	 -0.471
 69    	 67    	 68    	   ,(|  	    (|  	       	       	       	  1    	  1    	       	       	       	  0.019	  0.019	       	       	       	  0.133	  0.133	 32.953	 32.885	  0.486
 70    	 68    	 69    	    (|  	   `(|  	       	       	       	  1    	  1    	       	       	       	  0.048	  0.048	       	       	       	  0.339	  0.339	 33.375	 33.383	 -0.056
 71    	 69    	 70    	   `(|  	  ``(|  	       	       	       	  1    	  1    	       	       	       	  0.027	  0.027	       	       	       	  0.189	  0.189	 33.937	 33.950	 -0.094
 72    	 70    	 71    	  ``(|  	  ,'(|  	       	  1    	  1    	  1    	  1    	       	  0.772	  0.097	  0.040	  0.908	       	  0.394	  0.198	  0.283	  0.875	 34.358	 34.422	 -0.455
 73    	 71    	 72    	  ,'(|  	   '(|  	       	       	       	  1    	  1    	       	       	       	  0.034	  0.034	       	       	       	  0.245	  0.245	 34.921	 34.835	  0.606
 74    	 72    	 72.405	   '(|  	   ,~|) 	  1    	       	  2    	  2    	  2    	  0.148	       	  0.218	  0.000	  0.366	  0.076	       	  0.447	  0.000	  0.523	 35.118	 36.027	 -6.467
 75    	 72.405	 73    	   ,~|) 	    ~|) 	       	       	       	  1    	  1    	       	       	       	  0.032	  0.032	       	       	       	  0.227	  0.227	 35.342	 35.479	 -0.972
 76    	 73    	 74    	    ~|) 	   `~|) 	       	       	       	  1    	  1    	       	       	       	  0.042	  0.042	       	       	       	  0.300	  0.300	 35.904	 35.967	 -0.445
 77    	 74    	 75    	   `~|) 	  ,.(|( 	       	       	  1    	  1    	  1    	       	       	  0.088	  0.024	  0.112	       	       	  0.181	  0.172	  0.353	 36.326	 36.324	  0.010
 78    	 75    	 76    	  ,.(|( 	   .(|( 	       	       	       	  1    	  1    	       	       	       	  0.050	  0.050	       	       	       	  0.356	  0.356	 36.888	 36.840	  0.339
 79    	 76    	 77    	   .(|( 	   '~|) 	       	  1    	  2    	  1    	  2    	       	  0.191	  0.024	  0.016	  0.231	       	  0.097	  0.050	  0.116	  0.263	 37.309	 36.874	  3.101
 80    	 77    	 78    	   '~|) 	    /|~ 	       	       	  2    	  1    	  2    	       	       	  0.037	  0.058	  0.095	       	       	  0.076	  0.412	  0.488	 37.872	 37.851	  0.149
 81    	 78    	 78.390	    /|~ 	  ,,(|( 	       	  2    	  1    	  2    	  2    	       	  0.257	  0.160	  0.000	  0.416	       	  0.131	  0.327	  0.000	  0.458	 38.062	 38.478	 -2.962
 82    	 78.390	 79    	  ,,(|( 	   ,(|( 	       	       	       	  1    	  1    	       	       	       	  0.008	  0.008	       	       	       	  0.060	  0.060	 38.293	 38.308	 -0.105
 83    	 79    	 80    	   ,(|( 	    (|( 	       	       	       	  1    	  1    	       	       	       	  0.066	  0.066	       	       	       	  0.468	  0.468	 38.855	 38.724	  0.933
 84    	 80    	 81    	    (|( 	   `(|( 	       	       	       	  1    	  1    	       	       	       	  0.001	  0.001	       	       	       	  0.004	  0.004	 39.277	 39.117	  1.136
 85    	 81    	 82    	   `(|( 	    ~|\ 	       	  1    	  2    	  1    	  2    	       	  0.456	  0.310	  0.067	  0.833	       	  0.232	  0.636	  0.476	  1.345	 39.698	 39.455	  1.732
 86    	 82    	 83    	    ~|\ 	 ,.//|  	  1    	       	  1    	  1    	  1    	  0.420	       	  0.072	  0.007	  0.499	  0.214	       	  0.147	  0.052	  0.412	 40.261	 40.959	 -4.972
 87    	 83    	 84    	 ,.//|  	  .//|  	       	       	       	  1    	  1    	       	       	       	  0.059	  0.059	       	       	       	  0.421	  0.421	 40.682	 40.848	 -1.177
 88    	 84    	 85    	  .//|  	 `.//|  	       	       	       	  1    	  1    	       	       	       	  0.015	  0.015	       	       	       	  0.107	  0.107	 41.244	 41.257	 -0.089
 89    	 85    	 86    	 `.//|  	 ,,//|  	       	  1    	  1    	  1    	  1    	       	  0.188	  0.425	  0.051	  0.664	       	  0.096	  0.871	  0.365	  1.331	 41.666	 41.508	  1.119
 90    	 86    	 87    	 ,,//|  	  ,//|  	       	       	       	  1    	  1    	       	       	       	  0.023	  0.023	       	       	       	  0.163	  0.163	 42.228	 42.292	 -0.458
 91    	 87    	 88    	  ,//|  	   //|  	       	       	       	  1    	  1    	       	       	       	  0.043	  0.043	       	       	       	  0.309	  0.309	 42.649	 42.801	 -1.080
 92    	 88    	 89    	   //|  	  `//|  	       	       	       	  1    	  1    	       	       	       	  0.031	  0.031	       	       	       	  0.219	  0.219	 43.212	 43.210	  0.008
 93    	 89    	 90    	  `//|  	 ``//|  	       	       	       	  1    	  1    	       	       	       	  0.036	  0.036	       	       	       	  0.253	  0.253	 43.633	 43.620	  0.096
 94    	 90    	 91    	 ``//|  	 ,'//|  	       	       	  1    	  1    	  1    	       	       	  0.055	  0.039	  0.093	       	       	  0.112	  0.275	  0.387	 44.195	 43.991	  1.452
 95    	 91    	 92    	 ,'//|  	  '//|  	       	       	       	  1    	  1    	       	       	       	  0.028	  0.028	       	       	       	  0.197	  0.197	 44.617	 44.698	 -0.578
 96    	 92    	 93    	  '//|  	,,)//|  	  3    	  3    	  3    	  3    	  3    	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	  0.000	 45.112	 45.891	 -5.543
 97    	 93    	 94    	,,)//|  	 ,)//|  	       	       	       	  1    	  1    	       	       	       	  0.020	  0.020	       	       	       	  0.142	  0.142	 45.600	 45.673	 -0.517
 98    	 94    	 95    	 ,)//|  	  )//|  	       	       	       	  1    	  1    	       	       	       	  0.054	  0.054	       	       	       	  0.386	  0.386	 46.163	 46.089	  0.521
 99    	 95    	 96    	  )//|  	 `)//|  	       	       	       	  1    	  1    	       	       	       	  0.012	  0.012	       	       	       	  0.086	  0.086	 46.584	 46.605	 -0.151
100    	 96    	 97    	 `)//|  	``)//|  	       	       	       	  1    	  1    	       	       	       	  0.062	  0.062	       	       	       	  0.442	  0.442	 47.146	 47.125	  0.149
101    	 97    	 98    	``)//|  	  ,,/|) 	       	  1    	  1    	  1    	  1    	       	  0.855	  0.450	  0.004	  1.309	       	  0.436	  0.922	  0.030	  1.389	 47.568	 47.582	 -0.102
